study_id,experiment_id,random_id,file_name,cell_count,error
39,892,sqfhCkrY,A4-4x-1.tif,255,
39,887,sqfhCkrY,A4-4x-1.tif,255,
39,892,sqfhCkrY,A4-4x-2.tif,341,
39,887,sqfhCkrY,A4-4x-2.tif,341,
39,892,sqfhCkrY,A5-4x-1.tif,333,
39,887,sqfhCkrY,A5-4x-1.tif,333,
39,892,sqfhCkrY,A5-4x-2.tif,389,
39,887,sqfhCkrY,A5-4x-2.tif,389,
39,892,sqfhCkrY,A7-4x-1.tif,208,
39,887,sqfhCkrY,A7-4x-1.tif,208,
39,887,sqfhCkrY,A7-4x-2.tif,391,
39,892,sqfhCkrY,A7-4x-2.tif,391,
39,888,sqfhCkrY,B4-4x-1.tif,294,
39,890,sqfhCkrY,B4-4x-1.tif,294,
39,888,sqfhCkrY,B4-4x-2.tif,431,
39,890,sqfhCkrY,B4-4x-2.tif,431,
39,888,sqfhCkrY,B5-4x-1.tif,227,
39,890,sqfhCkrY,B5-4x-1.tif,227,
39,888,sqfhCkrY,B5-4x-2.tif,414,
39,890,sqfhCkrY,B5-4x-2.tif,414,
39,888,sqfhCkrY,B7-4x-1.tif,243,
39,890,sqfhCkrY,B7-4x-1.tif,243,
39,888,sqfhCkrY,B7-4x-1.tif,243,
39,888,sqfhCkrY,B7-4x-1.tif,243,
39,888,sqfhCkrY,B7-4x-2.tif,398,
39,890,sqfhCkrY,B7-4x-2.tif,398,
39,889,sqfhCkrY,C4-4x-1.tif,413,
39,885,sqfhCkrY,C4-4x-1.tif,413,
39,889,sqfhCkrY,C4-4x-2.tif,685,
39,885,sqfhCkrY,C4-4x-2.tif,685,
39,885,sqfhCkrY,C5-4x-1.tif,456,
39,889,sqfhCkrY,C5-4x-1.tif,456,
39,885,sqfhCkrY,C5-4x-2.tif,675,
39,889,sqfhCkrY,C5-4x-2.tif,675,
39,885,sqfhCkrY,C7-4x-1.tif,522,
39,889,sqfhCkrY,C7-4x-1.tif,522,
39,885,sqfhCkrY,C7-4x-2.tif,663,
39,889,sqfhCkrY,C7-4x-2.tif,663,
39,891,sqfhCkrY,D4-4x-1.tif,337,
39,886,sqfhCkrY,D4-4x-1.tif,337,
39,891,sqfhCkrY,D4-4x-2.tif,457,
39,886,sqfhCkrY,D4-4x-2.tif,457,
39,891,sqfhCkrY,D5-4x-1.tif,293,
39,886,sqfhCkrY,D5-4x-1.tif,293,
39,891,sqfhCkrY,D5-4x-2.tif,433,
39,886,sqfhCkrY,D5-4x-2.tif,433,
39,886,sqfhCkrY,D7-4x-1.tif,317,
39,891,sqfhCkrY,D7-4x-1.tif,317,
39,891,sqfhCkrY,D7-4x-2.tif,370,
39,886,sqfhCkrY,D7-4x-2.tif,370,
39,892,sqfhCkrY,E2-4x-1.tif,434,
39,887,sqfhCkrY,E2-4x-1.tif,434,
39,890,sqfhCkrY,E2-4x-1.tif,434,
39,892,sqfhCkrY,E2-4x-2.tif,350,
39,887,sqfhCkrY,E2-4x-2.tif,350,
39,890,sqfhCkrY,E2-4x-2.tif,350,
39,890,sqfhCkrY,E4-4x-1.tif,339,
39,892,sqfhCkrY,E4-4x-1.tif,339,
39,890,sqfhCkrY,E4-4x-2.tif,464,
39,892,sqfhCkrY,E4-4x-2.tif,464,
39,892,sqfhCkrY,E5-4x-1.tif,360,
39,887,sqfhCkrY,E5-4x-1.tif,360,
39,890,sqfhCkrY,E5-4x-1.tif,360,
39,892,sqfhCkrY,E5-4x-2.tif,478,
39,887,sqfhCkrY,E5-4x-2.tif,478,
39,890,sqfhCkrY,E5-4x-2.tif,478,
39,887,sqfhCkrY,E6-4x-1.tif,314,
39,887,sqfhCkrY,E6-4x-2.tif,375,
39,888,sqfhCkrY,F2-4x-1.tif,547,
39,888,sqfhCkrY,F2-4x-2.tif,615,
39,888,sqfhCkrY,F4-4x-1.tif,506,
39,888,sqfhCkrY,F4-4x-2.tif,625,
39,888,sqfhCkrY,F5-4x-1.tif,476,
39,888,sqfhCkrY,F5-4x-2.tif,539,
39,885,sqfhCkrY,G2-4x-1.tif,648,
39,889,sqfhCkrY,G2-4x-1.tif,648,
39,885,sqfhCkrY,G2-4x-2.tif,685,
39,889,sqfhCkrY,G2-4x-2.tif,685,
39,885,sqfhCkrY,G4-4x-1.tif,599,
39,889,sqfhCkrY,G4-4x-1.tif,599,
39,885,sqfhCkrY,G4-4x-2.tif,612,
39,889,sqfhCkrY,G4-4x-2.tif,612,
39,885,sqfhCkrY,G5-4x-1.tif,549,
39,889,sqfhCkrY,G5-4x-1.tif,549,
39,885,sqfhCkrY,G5-4x-2.tif,741,
39,889,sqfhCkrY,G5-4x-2.tif,741,
39,886,sqfhCkrY,H2-4x-1.tif,293,
39,891,sqfhCkrY,H2-4x-1.tif,293,
39,891,sqfhCkrY,H2-4x-2.tif,332,
39,886,sqfhCkrY,H2-4x-2.tif,332,
39,891,sqfhCkrY,H4-4x-1.tif,306,
39,886,sqfhCkrY,H4-4x-1.tif,306,
39,891,sqfhCkrY,H4-4x-2.tif,383,
39,886,sqfhCkrY,H4-4x-2.tif,383,
39,891,sqfhCkrY,H5-4x-1.tif,332,
39,886,sqfhCkrY,H5-4x-1.tif,332,
39,891,sqfhCkrY,H5-4x-2.tif,387,
39,886,sqfhCkrY,H5-4x-2.tif,387,
